Name,Prompt
Photography,"A photo of a ___, epic, exciting, wow, cinematic, moody, HDRI, stop motion, highly detailed, octane render, soft lighting, celestial, professional, 35mm, Zeiss, Hasselblad, Fujifilm, Arriflex, IMAX, 4k, 8k.:10|Oversaturated, ugly, 3d, render, cartoon, grainy, low-res, lowres, kitsch, blender, cropped, poorly drawn face, out of frame, poorly drawn hands, blurry, bad art, blurred, text, watermark, disfigured, deformed, mangled, closed eyes.:-10"
Protography (Lens Flare),"A photo of a ___, epic, exciting, wow, cinematic, moody, hdri, lens flare, stop motion, highly detailed, octane render, soft lighting, celestial, professional, 35mm, Zeiss, Hasselblad, Fujifilm, Arriflex, IMAX, 4k, 8k.:10|Oversaturated, ugly, 3d, render, cartoon, grain, low-res, kitsch, blender, cropped, lowres, poorly drawn face, out of frame, poorly drawn hands, blurry, bad art, blurred, text, watermark, disfigured, deformed, mangled, closed eyes.:-10"
Digital Art,"A digital painting of a ___, digital art, trending on Artstation, epic, exciting, wow, cinematic, moody, HDRI, highly detailed, octane render, soft lighting, celestial, professional, 35mm, Zeiss, Hasselblad, Fujifilm, Arriflex, IMAX, 4k, 8k.:10|Oversaturated, ugly, 3d, render, cartoon, grain, low-res, lowres, kitsch, blender, cropped, poorly drawn face, out of frame, poorly drawn hands, blurry, bad art, blurred, text, watermark, disfigured, deformed, mangled, closed eyes.:-10"
Profile Picture,"A profile picture of a ___, documentary, Oscar winning, wide shot, ultra-realistic UHD faces, Kodak Ultramax 800, pexels, 85mm, casual pose, 35mm, hard light, detailed skin texture, masterpiece, sharp focus, pretty, lovely, adorable, attractive, Hasselblad, candid street portrait:10|Oversaturated, ugly, 3d, render, cartoon, grain, low-res, lowres, kitsch, blender, cropped, poorly drawn face, out of frame, poorly drawn hands, blurry, bad art, blurred, text, watermark, disfigured, deformed, mangled, closed eyes.:-10"
Portrait,"A portrait of a ___, tumblr, digital art, glowing with colored light, ethereal lighting, forest ray light, taken in 2022, handsome, diffused natural skin glow.:10|Oversaturated, ugly, 3d, render, cartoon, grain, low-res, lowres, kitsch, blender, cropped, poorly drawn face, out of frame, poorly drawn hands, blurry, bad art, blurred, text, watermark, disfigured, deformed, mangled, closed eyes.:-10"
Watercolor,"A watercolor painting of a ___, beautiful, picturesque, charming, beautiful light, nice color scheme, soft warm color, beautiful detailed watercolor.:10|Oversaturated, ugly, 3d, render, cartoon, grain, low-res, lowres, kitsch, blender, cropped, poorly drawn face, out of frame, poorly drawn hands, blurry, bad art, blurred, text, watermark, disfigured, deformed, mangled, closed eyes.:-10"
Architecture,"A hyperrealistic photograph of a ___, lens flare, cinematic, HDRI, matte painting, concept art, celestial, soft render, highly detailed, cgsociety, octane render, architectural, magazine, HD, HQ, 4k, 8k.:10|Oversaturated, ugly, 3d, render, cartoon, grain, low-res, lowres, kitsch, blender, cropped, poorly drawn face, out of frame, poorly drawn hands, blurry, bad art, blurred, text, watermark, disfigured, deformed, mangled, closed eyes.:-10"
Fantasy,"Fantasy artwork of a ___, epic lighting from above, inside a RPG game, bottom angle, epic fantasy card game art, epic character portrait, glowing and epic, full art illustration, landscape illustration, Celtic fantasy art, neon fog.:10|Oversaturated, ugly, 3d, render, cartoon, grain, low-res, lowres, kitsch, blender, cropped, poorly drawn face, out of frame, poorly drawn hands, blurry, bad art, blurred, text, watermark, disfigured, deformed, mangled, closed eyes.:-10"
Comic,"Comic book drawing of a ___, Marvel, DC comics, superflat, graphic novel, artistic rendering, alternate album cover, promotional art, deviantart contest winner, concept art by senior environment artist, senior character artist, centered composition.:10|Oversaturated, ugly, 3d, render, cartoon, grain, low-res, lowres, kitsch, blender, cropped, poorly drawn face, out of frame, poorly drawn hands, blurry, bad art, blurred, text, watermark, disfigured, deformed, mangled, closed eyes.:-10"
Astrophotography,"A long-exposure photo of ___, astrophotography, James Webb Telescope, Hubble Space Telescope, Cassini images, NASA, JPL, Fujifilm, Nikon Z6, Canon EOS 6D Mk2, Zeiss, Hasselblad, Arriflex, IMAX, 4k, 8k, highly detailed, celestial, professional.:10|Oversaturated, ugly, 3d, render, cartoon, grain, low-res, lowres, kitsch, blender, cropped, out of frame, blurry, bad art, blurred, text, watermark.:-10"
